Name,Transaction_date,Product,Price,Payment_Type,City,State,Country,Account_Created,Last_Login,Latitude,Longitude
carolina,1/2/2009 6:17,Product1,1200,Mastercard,Basildon,England,United Kingdom,1/2/2009 6:00,1/2/2009 6:08,51.5,-1.1166667
Betina,1/2/2009 4:53,Product1,1200,Visa,Parkville                   ,MO,United States,1/2/2009 4:42,1/2/2009 7:49,39.195,-94.68194
Federica e Andrea,1/2/2009 13:08,Product1,1200,Mastercard,Astoria                     ,OR,United States,1/1/2009 16:21,1/3/2009 12:32,46.18806,-123.83
Gouya,1/3/2009 14:44,Product1,1200,Visa,Echuca,Victoria,Australia,9/25/2005 21:13,1/3/2009 14:22,-36.1333333,144.75
Gerd W ,1/4/2009 12:56,Product2,3600,Visa,Cahaba Heights              ,AL,United States,11/15/2008 15:47,1/4/2009 12:45,33.52056,-86.8025
LAURENCE,1/4/2009 13:19,Product1,1200,Visa,Mickleton                   ,NJ,United States,9/24/2008 15:19,1/4/2009 13:04,39.79,-75.23806
Fleur,1/4/2009 20:11,Product1,1200,Mastercard,Peoria                      ,IL,United States,1/3/2009 9:38,1/4/2009 19:45,40.69361,-89.58889
adam,1/2/2009 20:09,Product1,1200,Mastercard,Martin                      ,TN,United States,1/2/2009 17:43,1/4/2009 20:01,36.34333,-88.85028
Renee Elisabeth,1/4/2009 13:17,Product1,1200,Mastercard,Tel Aviv,Tel Aviv,Israel,1/4/2009 13:03,1/4/2009 22:10,32.0666667,34.7666667
Aidan,1/4/2009 14:11,Product1,1200,Visa,Chatou,Ile-de-France,France,6/3/2008 4:22,1/5/2009 1:17,48.8833333,2.15
Stacy,1/5/2009 2:42,Product1,1200,Diners,New York                    ,NY,United States,1/5/2009 2:23,1/5/2009 4:59,40.71417,-74.00639
Heidi,1/5/2009 5:39,Product1,1200,Amex,Eindhoven,Noord-Brabant,Netherlands,1/5/2009 4:55,1/5/2009 8:15,51.45,5.4666667
Sean ,1/2/2009 9:16,Product1,1200,Mastercard,Shavano Park                ,TX,United States,1/2/2009 8:32,1/5/2009 9:05,29.42389,-98.49333
Georgia,1/5/2009 10:08,Product1,1200,Visa,Eagle                       ,ID,United States,11/11/2008 15:53,1/5/2009 10:05,43.69556,-116.35306
Richard,1/2/2009 14:18,Product1,1200,Visa,Riverside                   ,NJ,United States,12/9/2008 12:07,1/5/2009 11:01,40.03222,-74.95778
